customer_id,first_name,last_name,email,phone,city,country,signup_date,loyalty_tier
C000001,Melissa,Rogers,wevans@example.org,+44(0)1514960690,Gerardport,United Kingdom,2023-04-06,Bronze
C000002,Matthew,Edwards,lnixon@example.org,0909 8790248,East Lisamouth,United Kingdom,2025-08-06,Gold
C000003,Hannah,Doyle,vwinter@example.net,(0115) 4960174,Amyhaven,United Kingdom,2025-12-04,Silver
C000004,Louis,Smith,marion50@example.net,01184960911,Metcalfefurt,United Kingdom,2023-06-01,Bronze
C000005,Michael,Harris,callummyers@example.com,020 74960473,Lake Edward,United Kingdom,2025-03-03,Bronze
C000006,Andrew,Stevens,michaelosullivan@example.org,0114 496 0190,Lake Gerard,United Kingdom,2024-09-01,Bronze
C000007,Megan,Thompson,geraldinecross@example.net,+44909 8790676,Smithshire,United Kingdom,2025-05-06,Bronze
C000008,Marcus,Nixon,stanley57@example.org,+44(0)9098790452,New Carol,United Kingdom,2024-01-16,Silver
C000009,Denise,Brown,xsimpson@example.org,+44808 157 0907,East Bethton,United Kingdom,2024-06-19,Bronze
C000010,Rhys,Simpson,thomasgeoffrey@example.net,(0131)4960712,East George,United Kingdom,2025-07-04,Silver
C000011,Elliot,Thompson,naylorleonard@example.net,0161 496 0540,Cooperland,United Kingdom,2025-01-24,Bronze
C000012,Harry,Cooke,chelsea07@example.org,+44(0)191 496 0588,East Denise,United Kingdom,2024-02-05,Gold
C000013,Natasha,Wood,tracy08@example.net,(0121)4960531,North Louise,United Kingdom,2022-10-07,Silver
C000014,Bernard,Jackson,alexandra06@example.org,01184960831,Evansland,United Kingdom,2024-10-24,Bronze
C000015,Alison,Bell,jayne09@example.net,+4420 74960271,West Declan,United Kingdom,2026-02-27,Bronze
C000016,Benjamin,Bailey,fbaker@example.net,(0113) 4960970,North Francis,United Kingdom,2024-07-22,Bronze
C000017,Joshua,Oliver,chapmanhugh@example.org,+44(0)20 7496 0335,Bethstad,United Kingdom,2026-02-11,Bronze
C000018,Reece,Leach,jdunn@example.org,(0909) 879 0763,Lake Abigail,United Kingdom,2026-01-21,Bronze
C000019,Claire,Bradley,,(028) 9018553,North Adrian,United Kingdom,2026-08-05,Bronze
C000020,Yvonne,Parker,bwright@example.org,020 7946 0137,South Gregory,United Kingdom,2022-09-16,Bronze
C000021,Tony,Evans,ypeters@example.net,+441214960273,South Paulineview,United Kingdom,2022-10-29,Bronze
C000022,Gavin,Curtis,iain00@example.com,+44(0)28 9018 0983,Foxton,United Kingdom,2026-07-26,Bronze
C000023,Stephanie,Barrett,sallyreynolds@example.com,+44(0)131 4960214,North Hilaryview,United Kingdom,2023-05-26,Bronze
C000024,Hugh,Owens,ericpowell@example.org,+44115 496 0098,West Leahburgh,United Kingdom,2024-02-22,Bronze
C000025,Mohamed,Fowler,eileenevans@example.net,01174960203,Port Janice,United Kingdom,2026-05-09,Bronze
C000026,Declan,Shaw,davidprice@example.com,+441632 960 575,Holliehaven,United Kingdom,2022-09-03,Silver
C000027,Stuart,Leonard,martynhudson@example.com,0909 8790958,Wademouth,United Kingdom,2025-08-06,Bronze
C000028,Gordon,Owen,pwoods@example.org,+44(0)161 4960242,New Iainfurt,United Kingdom,2025-12-29,Bronze
C000029,Charles,Robson,harrietspencer@example.com,+44(0)141 4960203,Annfort,United Kingdom,2025-08-21,Bronze
C000030,Kate,Parkin,simpsonabdul@example.com,+44(0)1632960791,Hollowayfurt,United Kingdom,2022-09-10,Bronze
C000031,Timothy,Harrison,wthomas@example.net,+44117 4960282,East Vanessa,United Kingdom,2025-12-27,Bronze
C000032,Francesca,Patel,gilbertrobin@example.com,+44(0)2074960993,Danielleburgh,United Kingdom,2023-02-11,Bronze
C000033,Craig,Morris,terrysmith@example.com,01414960236,Port Karl,United Kingdom,2024-06-17,Bronze
